product_id,product_name
109238,Кресло-мешок Роуз L Velvet Blue
109239,Кресло-мешок Роуз L Velvet Black
109240,Кресло-мешок Роуз L Velvet Navy Blue
109263,Кровать Ситено 140
109264,Кровать Ситено 160
109265,Кровать Ситено 180
109266,Кровать Адона 140
109267,Кровать Лайтси 140
109268,Кровать Адона 180
109270,Кровать Лайтси 180
109271,Кровать Виенсо 180
109273,Кровать Плиди 140
109275,Кровать Плиди 180
109281,Диван Бонни 130
109284,Диван Бонни 133
109320,Кровать Рона 140
109510,Подушка Гаага Velvet Pink
109525,Кровать Лисмос 180 Velvet Green
109526,Плед Кантри Beige
109556,Диван Честер-2 Sherst Sky
109715,Кухонный стол Бергер
109716,Кухонный стол Тюлип-80
109717,Стул Фабьен Latte
109719,Кресло Астер Textile Blue
109720,Кресло Астер Textile Grey
109721,Кресло Астер Textile Latte
109724,Кушетка Астер-3 Textile Blue
109725,Кушетка Астер-3 Textile Grey
109726,Кушетка Астер-3 Textile Latte
109727,Кушетка Астер-3 Textile Lime
109728,Кушетка Астер-3 Textile Sky
109729,Диван угловой Астер Textile Blue
109730,Диван угловой Астер Textile Grey
109731,Диван угловой Астер Textile Latte
109733,Диван угловой Астер Textile Sky
109790,Шкаф-купе Итан-2-120-230 Белый
109824,Стул Фран-1 Yellow
109825,Стул Фран Red
109831,Стул Элвуд White
109832,Стул Элвуд Black
109834,Стул Кроссбэк Black
109842,Стул Эймс Patch
110202,Шкаф-купе Итан-2-140-230 Дуб Сонома
110207,Шкаф-купе Итан-2-160-230 Дуб Сонома/Белый
110208,Шкаф-купе Орест-2-120-230 Белый
110209,Шкаф-купе Орест-2-120-230 Дуб Сонома
110211,Шкаф-купе Орест-2-140-230 Белый
110212,Шкаф-купе Орест-2-140-230 Дуб Сонома
110214,Шкаф-купе Орест-2-160-230 Белый
110215,Шкаф-купе Орест-2-160-230 Дуб Сонома
110216,Шкаф-купе Орест-2-160-230 Дуб Сонома/Белый
110217,Шкаф-купе Реймс-2-120-230 Белый
110218,Шкаф-купе Реймс-2-120-230 Дуб Сонома
110219,Шкаф-купе Реймс-2-140-230 Белый
110221,Шкаф-купе Реймс-2-160-230 Белый
110222,Шкаф-купе Реймс-2-160-230 Дуб Сонома
110223,Шкаф-купе Итан-3-180-230 Белый
110225,Шкаф-купе Итан-3-180-230 Дуб Сонома
110226,Шкаф-купе Итан-3-180-230 Дуб Сонома/Белый
110231,Шкаф-купе Орест-3-180-230 Дуб Сонома/Белый
110232,Шкаф-купе Орест-3-180-230 Дуб Сонома
110234,Шкаф-купе Орест-3-180-230 Венге/Белый
110239,Шкаф-купе Реймс-3-180-230 Белый
110241,Шкаф-купе Реймс-3-210-230 Белый
110445,Кресло Вельс Velvet Green
110448,Диван Вельс Velvet Latte
110449,Диван Вельс Velvet Yellow
110450,Диван Вельс Velvet Green
110457,Журнальный стол Бенфлит Grey
110458,Журнальный стол Бенфлит Blue
110612,Диван угловой Монти 155
110613,Диван угловой Монти 156
110617,Диван угловой Монти 160
110732,Прихожая Рейли Дуб Сонома
110734,Шкаф-купе Аризона-180-1
110940,Диван Борнео Velvet Blue
110941,Диван Борнео Velvet Brown
110944,Диван Борнео Velvet Ocean
110945,Диван Остин Velvet Blue
110946,Диван Остин Velvet Brown
110947,Диван Остин Velvet Emerald
110948,Диван Остин Velvet Grey
110950,Диван Торонто Velvet Brown
110951,Диван Торонто Velvet Grey
110952,Диван Торонто Velvet Light
110953,Диван Торонто Velvet Mint
110954,Диван Торонто Velvet Mustard
110955,Диван Старк Velvet Brown
111088,Диван Монти 155
111089,Диван Монти 156
111091,Диван Монти 157
111093,Диван Монти 158
111095,Диван Монти 160
111151,Кровать Ситено 140 Barhat Salmon
111155,Кровать Ситено 160 Barhat Emerald
111156,Кровать Ситено 160 Barhat Salmon
111157,Кровать Ситено 180 Barhat Emerald
111158,Кровать Ситено 180 Barhat Salmon
111162,Кровать Ситено 140 Sherst Beige
111165,Кровать Ситено 160 Sherst Beige
111168,Кровать Ситено 180 Sherst Beige
111280,Диван Фабиус Ecru
111282,Диван Фабиус Lilac
111283,Диван Фабиус Orange
111284,Кресло Фабиус Blue
111285,Кресло Фабиус Ecru
111286,Кресло Фабиус Light Grey
111287,Кресло Фабиус Lilac
111288,Кресло Фабиус Orange
111358,Ковер Forte-Ocean 135x200
111359,Ковер Ungaro-Castle 160x230
111361,Ковер Cleo-West 160x230
111362,Ковер Snow-Scandi 160x230
111379,Шкаф-купе Веймар-2-100-240 Дуб Ирландский
111380,Шкаф-купе Веймар-2-120-240 Камень Светлый
111381,Шкаф-купе Веймар-2
111382,Шкаф-купе Веймар-2-140-220 Камень Светлый
111467,Шкаф-купе Довиль-2-140-220 Камень Светлый
111469,Шкаф-купе Довиль-2
111482,Шкаф-купе Толедо-2-160-240 Дуб Ирландский
111632,Диван Мисл Barhat Light
111671,Шкаф-купе Веймар-3
111676,Шкаф-купе Довиль-3
111678,Шкаф-купе Довиль-3-220-210 Белый
111680,Стул Шэлл Patch
111695,Кухонный стол Эймс-80 Glass
111697,Шкаф-купе Веймар-4-260-240 Белый
111698,Шкаф-купе Веймар-4-260-240 Камень Светлый
111699,Шкаф-купе Веймар-4
111716,Шкаф-купе Довиль-4-260-240 Камень Светлый
111717,Шкаф-купе Довиль-4-260-240 Белый
111719,Шкаф-купе Довиль-4
111727,Стул Диана Velvet Blue
111728,Кровать Лисмос 140
111729,Кровать Лисмос 160
111730,Кровать Лисмос 180
111740,Стул Валенсия Gold Sapphire
111741,Стул Валенсия Gold Luna
111742,Стул Валенсия Gold Grey
111745,Стул барный Ститч Emerald
111763,Стул Джулиан Pink
111764,Стул Джулиан Grafit
111765,Стул Толикс Wood Yellow
111767,Стул барный Толикс-2 Wood Yellow
111770,Стул Эмили Beige
